Date	Price	Open	High	Low	Vol.	Change %
09-01-17	379.5	379.5	379.5	379.5		0.00%
06-01-17	379.5	379.5	379.5	379.5		0.00%
05-01-17	379.5	379.5	379.5	379.5		0.00%
04-01-17	379.5	379.5	379.5	379.5		0.00%
03-01-17	379.5	379.5	379.5	379.5		0.00%
02-01-17	379.5	379.5	379.5	379.5		0.00%
30-12-16	379.5	379.5	379.5	379.5		0.00%
29-12-16	379.5	379.5	379.5	379.5		0.00%
28-12-16	379.5	379.5	379.5	379.5		0.00%
27-12-16	379.5	379.5	379.5	379.5		0.00%
26-12-16	379.5	379.5	379.5	379.5		0.00%
23-12-16	379.5	379.5	379.5	379.5		0.00%
22-12-16	379.5	379.5	379.5	379.5		0.00%
21-12-16	379.5	379.5	379.5	379.5		0.00%
20-12-16	379.5	379.5	379.5	379.5		0.00%
19-12-16	379.5	379.5	379.5	379.5		0.00%
16-12-16	379.5	379.5	379.5	379.5		0.00%
15-12-16	379.5	379.5	379.5	379.5		0.00%
14-12-16	379.5	379.5	379.5	379.5		0.00%
13-12-16	379.5	379.5	379.5	379.5		0.00%
12-12-16	379.5	379.5	379.5	379.5		0.00%
09-12-16	379.5	379.5	379.5	379.5		0.00%
08-12-16	379.5	379.5	379.5	379.5		0.00%
07-12-16	379.5	379.5	379.5	379.5		0.00%
06-12-16	379.5	379.5	379.5	379.5		0.00%
05-12-16	379.5	379.5	379.5	379.5		0.00%
02-12-16	379.5	379.5	379.5	379.5		0.00%
01-12-16	379.5	379.5	379.5	379.5		0.00%
30-11-16	379.5	379.5	379.5	379.5		0.00%
29-11-16	379.5	379.5	379.5	379.5		0.00%
28-11-16	379.5	379.5	379.5	379.5		0.00%
25-11-16	379.5	379.5	379.5	379.5		0.00%
24-11-16	379.5	379.5	379.5	379.5		0.00%
23-11-16	379.5	379.5	379.5	379.5		0.00%
22-11-16	379.5	379.5	379.5	379.5		0.00%
21-11-16	379.5	379.5	379.5	379.5		0.00%
18-11-16	379.5	379.5	379.5	379.5		0.00%
